,,mass,airspeed,drag,power,solar_power
R140A,56,6.0,15.0,1.8787694347790063,86.71243545133875,168
R140A,57,7.0,15.0,1.9949506807028612,92.07464680167051,168
R140A,58,8.0,15.0,2.1387091270159324,98.70965201611996,168
R140A,59,9.0,15.0,2.3049730399531625,106.38337107476134,168
R140A,60,10.0,15.0,2.489989134815808,114.92257545303728,168
R140A,61,11.0,15.0,2.6922843925285327,124.25927965516301,168
R140A,62,12.0,15.0,2.9118286120565595,134.39208978722579,168
R140A,63,13.0,15.0,3.1481365218820763,145.29860870224965,168
R140A,64,14.0,15.0,33.484557006753995,1545.441092619415,168
R140A,65,15.0,15.0,16.449467676740763,759.2062004649582,168
R140A,66,5.0,16.0,8.524275704296974,419.65665005769716,168
R140A,67,6.0,16.0,5.098751108375165,251.01543918154658,168
R140A,68,7.0,16.0,3.583000661957117,176.3938787425042,168
R140A,69,8.0,16.0,2.9123187004448634,143.37568986805482,168
R140A,70,9.0,16.0,2.668398392226789,131.36730546347266,168
R140A,71,10.0,16.0,2.651936656678647,130.55688155956415,168
R140A,72,11.0,16.0,2.746664866892953,135.22042421626844,168
R140A,73,12.0,16.0,2.904636911032652,142.99750946622285,168
R140A,74,13.0,16.0,3.1009742794290553,152.66334914112272,168
R140A,75,14.0,16.0,3.3243366367822182,163.65964981081692,168
R140A,76,15.0,16.0,3.5675516181699507,175.63331043298217,168
R140A,77,5.0,17.0,2.1960774805246124,114.87174513513358,168
R140A,78,6.0,17.0,2.2903800268048133,119.80449370979022,168
R140A,79,7.0,17.0,2.397949886428752,125.43122482858087,168
R140A,80,8.0,17.0,64.11245516385799,3353.574577801802,168
R140A,81,9.0,17.0,29.136410356688163,1524.0583878883037,168
R140A,82,10.0,17.0,14.765482778684419,772.3483299619542,168
R140A,83,11.0,17.0,8.546979073776217,447.07275155137137,168
R140A,84,12.0,17.0,5.7529844252334,300.92533916605475,168
R140A,85,13.0,17.0,4.48283040796493,234.48651364739632,168
R140A,86,14.0,17.0,3.9591489294875952,207.09394400396653,168
R140A,87,15.0,17.0,3.8222219455579336,199.93160945995345,168
R140A,88,5.0,18.0,2.477541645327357,137.21769112582282,168
R140A,89,6.0,18.0,2.4667992411941166,136.62272720459725,168
R140A,90,7.0,18.0,2.5203403762321184,139.5880823759327,168
R140A,91,8.0,18.0,2.6134572692971774,144.74532568415137,168
R140A,92,9.0,18.0,2.7316266009872057,151.2900886700606,168
R140A,93,10.0,18.0,2.86755189268146,158.81825867158858,168
R140A,94,11.0,18.0,3.0184243795948063,167.17427333140463,168
R140A,95,12.0,18.0,3.181951519549902,176.2311610827638,168
R140A,96,13.0,18.0,108.04611897366449,5984.092743156803,168
R140A,97,14.0,18.0,48.981041129181634,2712.7961240777518,168
R140A,98,15.0,18.0,24.540244676999958,1359.1520128799975,168
R140A,99,5.0,19.0,13.775979993911797,805.3649842594588,168
R140A,100,6.0,19.0,8.17054108909179,477.66240213152,168
R140A,101,7.0,19.0,5.458785365398045,319.128990592501,168
R140A,102,8.0,19.0,4.143826894815196,242.25449538919605,168
R140A,103,9.0,19.0,3.5410965709413844,207.01795337811168,168
R140A,104,10.0,19.0,3.296797927518852,192.73587883956367,168
R140A,105,11.0,19.0,3.2444070196776162,189.67302576576833,168
R140A,106,12.0,19.0,3.2976755580626267,192.78718647135352,168
