,,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
E387D,64,14.0,15.0,137.34,0.7753827477785828,0.0100259,0.0101362,0.9921,137.34,15.0,0.043743105485116306,0.0537690054851163,9.523858035895607,439.5626785797972,168
E387D,65,15.0,15.0,147.15,0.8307672297627673,0.0114987,0.0116422,0.9921,147.15,15.0,0.04335162429342278,0.05485032429342278,9.715387091137393,448.4024811294181,168
E387D,66,5.0,16.0,49.050000000000004,0.24338883684456075,0.0009933,0.0009955,0.9921,49.050000000000004,16.0,0.027450655622720924,0.028443955622720923,5.732292579160007,282.20517312787723,168
E387D,67,6.0,16.0,58.86,0.29206660421347286,0.00143,0.0014337,0.9921,58.86,16.0,0.02968536800639427,0.03111536800639427,6.27066064532921,308.7094471546688,168
E387D,68,7.0,16.0,68.67,0.340744371582385,0.0019458,0.0019518,0.9921,68.67,16.0,0.0320211917292903,0.0339669917292903,6.845346589933065,337.00167827362776,168
E387D,69,8.0,16.0,78.48,0.3894221389512972,0.0025406,0.0025498,0.9921,78.48,16.0,0.03434032834960042,0.03688092834960042,7.432590413763377,365.91214344681237,168
E387D,70,9.0,16.0,88.29,0.43809990632020934,0.0032141,0.0032279,0.9921,88.29,16.0,0.03654186804128423,0.03975596804128423,8.011995363905577,394.43669483842837,168
E387D,71,10.0,16.0,98.10000000000001,0.4867776736891215,0.0039662,0.0039861,0.9921,98.10000000000001,16.0,0.038541789594069516,0.04250798959406951,8.566608545488457,421.74072839327783,168
E387D,72,11.0,16.0,107.91000000000001,0.5354554410580337,0.0047967,0.0048246,0.9921,107.91000000000001,16.0,0.040272960413452255,0.045069660413452256,9.08286046287187,447.15620740292286,168
E387D,73,12.0,16.0,117.72,0.5841332084269457,0.0057053,0.0057436,0.9921,117.72,16.0,0.041685136520696595,0.04739043652069659,9.550565019646733,470.18166250568527,168
E387D,74,13.0,16.0,127.53,0.6328109757958579,0.0066917,0.0067432,0.9921,127.53,16.0,0.04274496255283489,0.049436662552834895,9.962939671572462,490.4831838312597,168
E387D,75,14.0,16.0,137.34,0.68148874316477,0.0077557,0.0078235,0.9921,137.34,16.0,0.04343597176266768,0.05119167176266768,10.31662557951439,507.8954131453238,168
E387D,76,15.0,16.0,147.15,0.7301665105336822,0.008897,0.0089848,0.9921,147.15,16.0,0.04375858601876367,0.052655586018763675,10.611647303568919,522.4195595603159,168
E387D,77,5.0,17.0,49.050000000000004,0.21559703194535487,0.0007795,0.000781,0.9921,49.050000000000004,17.0,0.02627119078627194,0.02705069078627194,6.154242343201358,321.91421487514793,168
E387D,78,6.0,17.0,58.86,0.2587164383344258,0.0011223,0.0011248,0.9921,58.86,17.0,0.02813558886762354,0.029257888867623538,6.6563970570832085,348.18076913973704,168
